                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1071,                 3.2624,                  3.735,                 1.4614,                  0.125,                0.00977,                0.06788,                0.05658,                  0.125,                0.00977,                0.06788,                0.04239,                 1.0681,                 2.8011,                 3.1156,                 1.5731,             0.00020625,             0.00020625,             0.00020625
                      2,                 1.0998,                 2.6641,                 3.0058,                 1.4197,                0.21318,                0.12239,                0.11807,                0.08859,                0.21453,                0.12491,                0.12045,                0.08445,                 1.1241,                 2.6295,                 2.7522,                  1.598,             0.00040637,             0.00040637,             0.00040637
                      3,                 1.0802,                 2.5808,                 2.7794,                 1.4081,                0.30408,                0.21848,                0.25316,                0.18216,                0.30408,                0.21848,                0.25316,                0.17393,                 1.1129,                 2.5393,                  2.514,                 1.5962,             0.00059825,             0.00059825,             0.00059825
                      4,                 1.0943,                 2.6984,                 2.7014,                 1.4059,                0.27773,                0.23432,                0.24269,                0.17723,                0.27773,                0.23432,                0.24269,                0.15956,                  1.005,                 2.5573,                 2.3417,                 1.4386,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.0723,                 2.5127,                  2.612,                 1.3867,                0.24524,                0.14261,                0.20508,                0.14418,                0.24524,                0.14261,                0.20508,                0.14523,                 1.1391,                 2.6001,                 2.3099,                 1.5701,             0.00058787,             0.00058787,             0.00058787
                      6,                 1.0566,                 2.4331,                 2.4862,                 1.3497,                0.30007,                0.22124,                0.26142,                 0.1899,                0.29841,                0.21905,                0.25714,                0.18796,                 1.0512,                 2.5202,                  2.342,                 1.5203,              0.0005755,              0.0005755,              0.0005755
                      7,                 1.0282,                 2.4389,                 2.4404,                 1.3324,                0.29633,                 0.2213,                0.24949,                0.18765,                0.29455,                 0.2191,                0.24498,                0.17869,                  1.017,                 2.4082,                 2.0698,                 1.4396,             0.00056313,             0.00056313,             0.00056313
                      8,                  1.008,                 2.4106,                 2.3264,                 1.3104,                0.28657,                0.24312,                0.26981,                0.21446,                0.28657,                0.24312,                0.26981,                0.19846,                 1.0093,                 2.3786,                  2.059,                 1.4411,             0.00055075,             0.00055075,             0.00055075
                      9,                 1.0177,                 2.3678,                 2.2904,                 1.3244,                0.36979,                0.21533,                0.29019,                0.23096,                0.36747,                0.21313,                0.28899,                0.20767,                 1.0237,                 2.5059,                 2.0235,                 1.4162,             0.00053838,             0.00053838,             0.00053838
                     10,                 0.9955,                 2.3948,                 2.2471,                 1.3066,                0.28104,                0.20701,                0.24556,                0.19147,                0.28104,                0.20701,                0.24556,                 0.1761,                0.97164,                 2.1793,                  2.017,                  1.405,               0.000526,               0.000526,               0.000526
